iter	Passed	Remaining
0	137	13575
1	156	7653
2	180	5825
3	198	4762
4	213	4058
5	233	3651
6	250	3323
7	269	3103
8	289	2930
9	309	2781
10	323	2620
11	346	2540
12	360	2410
13	375	2305
14	393	2228
15	411	2159
16	430	2101
17	450	2053
18	469	2002
19	490	1960
20	511	1925
21	531	1884
22	555	1858
23	577	1829
24	598	1795
25	622	1772
26	645	1745
27	676	1740
28	703	1722
29	741	1729
30	762	1696
31	781	1661
32	804	1632
33	822	1597
34	842	1565
35	862	1532
36	885	1507
37	909	1483
38	934	1461
39	955	1433
40	980	1410
41	1014	1401
42	1041	1380
43	1068	1359
44	1089	1331
45	1116	1310
46	1131	1275
47	1153	1249
48	1173	1221
49	1199	1199
50	1218	1170
51	1235	1140
52	1257	1115
53	1275	1086
54	1296	1060
55	1316	1034
56	1342	1012
57	1361	985
58	1380	959
59	1399	933
60	1420	908
61	1440	882
62	1458	856
63	1480	832
64	1503	809
65	1524	785
66	1545	761
67	1566	737
68	1589	714
69	1608	689
70	1628	665
71	1650	641
72	1668	617
73	1687	592
74	1708	569
75	1729	546
76	1749	522
77	1771	499
78	1799	478
79	1820	455
80	1840	431
81	1864	409
82	1884	385
83	1904	362
84	1928	340
85	1948	317
86	1967	294
87	1985	270
88	2004	247
89	2026	225
90	2045	202
91	2069	179
92	2089	157
93	2107	134
94	2126	111
95	2145	89
96	2163	66
97	2182	44
98	2203	22
99	2227	0
