survived,pclass,sex,sex(LE),age,sibsp,parch,fare,embarked,embarked,class,class,who,who,adult_male,embark_town,embark_town,alive,alive,alone
0,3,male,1,22,1,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,38,1,0,71.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,26,0,0,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,1,female,0,35,1,0,53.1,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,35,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,8.5,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
0,1,male,1,54,0,0,51.9,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,2,3,1,21.1,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
1,3,female,0,27,0,2,11.1,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,14,1,0,30.1,C,0,Second,1,child,0,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,4,1,1,16.7,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,58,0,0,26.6,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,20,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,39,1,5,31.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,female,0,14,0,0,7.9,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,TRUE
1,2,female,0,55,0,0,16.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,2,4,1,29.1,Q,1,Third,2,child,0,FALSE,Queenstown,1,no,0,FALSE
1,2,male,1,28,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,female,0,31,1,0,18.0,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,3,female,0,28,0,0,7.2,C,0,Third,2,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
0,2,male,1,35,0,0,26.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,male,1,34,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,female,0,15,0,0,8.0,Q,1,Third,2,child,0,FALSE,Queenstown,1,yes,1,TRUE
1,1,male,1,28,0,0,35.5,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,female,0,8,3,1,21.1,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
1,3,female,0,38,1,5,31.4,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,28,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,1,male,1,19,3,2,263.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,female,0,28,0,0,7.9,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,40,0,0,27.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,1,female,0,28,1,0,146.5,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,2,male,1,66,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,28,1,0,82.2,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
0,1,male,1,42,1,0,52.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
