survived,pclass,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,sex,sex_female,sex_male,embarked,embarked_C,embarked_Q,embarked_S
0,3,22,1,0,7.25,Third,man,TRUE,,Southampton,no,FALSE,male,0,1,S,0,0,1
1,1,38,1,0,71.2833,First,woman,FALSE,C,Cherbourg,yes,FALSE,female,1,0,C,1,0,0
1,3,26,0,0,7.925,Third,woman,FALSE,,Southampton,yes,TRUE,female,1,0,S,0,0,1
1,1,35,1,0,53.1,First,woman,FALSE,C,Southampton,yes,FALSE,female,1,0,S,0,0,1
0,3,35,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE,male,0,1,S,0,0,1
0,3,,0,0,8.4583,Third,man,TRUE,,Queenstown,no,TRUE,male,0,1,Q,0,1,0
0,1,54,0,0,51.8625,First,man,TRUE,E,Southampton,no,TRUE,male,0,1,S,0,0,1
0,3,2,3,1,21.075,Third,child,FALSE,,Southampton,no,FALSE,male,0,1,S,0,0,1
1,3,27,0,2,11.1333,Third,woman,FALSE,,Southampton,yes,FALSE,female,1,0,S,0,0,1
1,2,14,1,0,30.0708,Second,child,FALSE,,Cherbourg,yes,FALSE,female,1,0,C,1,0,0
1,3,4,1,1,16.7,Third,child,FALSE,G,Southampton,yes,FALSE,female,1,0,S,0,0,1
1,1,58,0,0,26.55,First,woman,FALSE,C,Southampton,yes,TRUE,female,1,0,S,0,0,1
0,3,20,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE,male,0,1,S,0,0,1
0,3,39,1,5,31.275,Third,man,TRUE,,Southampton,no,FALSE,male,0,1,S,0,0,1
0,3,14,0,0,7.8542,Third,child,FALSE,,Southampton,no,TRUE,female,1,0,S,0,0,1
1,2,55,0,0,16,Second,woman,FALSE,,Southampton,yes,TRUE,female,1,0,S,0,0,1
0,3,2,4,1,29.125,Third,child,FALSE,,Queenstown,no,FALSE,male,0,1,Q,0,1,0
1,2,,0,0,13,Second,man,TRUE,,Southampton,yes,TRUE,male,0,1,S,0,0,1
