total_bill,tip,sex,smoker,time,size,day_Thur,day_Fri,day_Sat,day_Sun
16.99,1.01,Female,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
10.34,1.66,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
21.01,3.5,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
23.68,3.31,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
24.59,3.61,Female,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
25.29,4.71,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
8.77,2,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
26.88,3.12,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
15.04,1.96,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
14.78,3.23,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
10.27,1.71,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
35.26,5,Female,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
15.42,1.57,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
18.43,3,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
14.83,3.02,Female,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
21.58,3.92,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
10.33,1.67,Female,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
16.29,3.71,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
16.97,3.5,Female,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
20.65,3.35,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
17.92,4.08,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
20.29,2.75,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
15.77,2.23,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
39.42,7.58,Male,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
19.82,3.18,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
17.81,2.34,Male,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
13.37,2,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
12.69,2,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
